ID,M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
0,2048,2048,4096,0.44536495559887374,140968.0,1180416.0,637482888.5
1,2048,4096,4096,0.6671238980744232,165525.0,1311502.0,601392093.5
2,2048,4608,4096,0.5143021113558537,188239.0,2288041.0,956844080.5
3,2048,4864,4096,0.31181333561390007,197412.0,3551495.0,1505787867.0
4,2048,5376,4096,0.3184334728799744,204262.0,3884109.0,1598888080.0
5,2048,7680,4096,0.5407430052253169,226294.0,3578549.0,1296478976.0
6,2048,7936,4096,0.33903834593298593,236310.0,5544240.0,2092670676.0
7,2048,8192,4096,0.7780748708364651,225734.0,1573632.0,557146485.0
8,2048,8448,4096,0.38163852993998315,242920.0,5486725.0,2008247468.0
9,2048,8704,4096,0.5867159990758887,236750.0,3593517.0,1249272542.0
10,2048,14080,4096,0.4769940845750552,452189.0,7590502.0,2829220464.0
11,2048,14336,4096,0.4797832264758719,452429.0,7682272.5,2856361361.5
12,2048,16128,4096,0.4790200666680434,459760.0,8655683.0,3334575590.0
13,2048,16384,4096,0.4789324123671871,460081.0,8794625.0,3308273647.0
14,2048,16640,4096,0.47896760116426473,461323.0,8931200.5,3336208380.0
15,2048,32512,4096,0.47692236905933155,977205.0,17518718.0,7110218342.0
16,2048,32768,4096,0.4770356213478538,972478.5,17652149.5,7258241007.5
17,2048,33024,4096,0.47542543673234994,969675.0,17851272.0,7270673200.0
18,2048,65536,4096,0.4740376840852691,1764009.0,35521987.0,16441039666.0
19,2048,65792,4096,0.4743711143811376,1788726.0,35634453.0,16062306668.0
20,2048,66048,4096,0.47572221395269043,1794293.0,35670849.0,16018817871.0
21,2048,128256,4096,0.4717861157111685,3685371.0,69840587.5,31067772636.5
22,2048,130816,4096,0.47161394769818865,3755116.0,71261307.0,32146246248.0
23,2048,131072,4096,0.4723255209127981,3720903.5,71293847.0,31255461929.0
24,4096,2048,4096,0.6671257929979214,166966.0,1311505.0,591421316.0
25,4096,4096,4096,0.6010233420681996,232103.0,3247126.0,1170004510.0
26,4096,4608,4096,0.40695634540835984,251933.0,5715913.0,1979796905.0
27,4096,4864,4096,0.2424582624013368,265993.5,7878936.5,2765978296.5
28,4096,5376,4096,0.23937328087585666,451909.0,8745291.0,3074947985.0
29,4096,7680,4096,0.41680799860870194,461242.0,9345712.0,3321332824.0
30,4096,7936,4096,0.3146811589831291,472739.0,11525837.0,4144568311.0
31,4096,8192,4096,0.7419977672521277,443536.0,3825392.0,1332555176.0
32,4096,8448,4096,0.32128346688876624,476585.0,12140111.0,4363625084.0
33,4096,8704,4096,0.4696727740812669,464947.5,9529600.5,3436722552.0
34,4096,14080,4096,0.6173707498964742,681067.5,10616550.5,5749341770.0
35,4096,14336,4096,0.6153306513345961,686956.0,10876918.0,5900388668.5
36,4096,16128,4096,0.625779356217117,938508.5,11847317.5,4597602034.0
37,4096,16384,4096,0.6256855188589713,934783.0,12038872.0,4750631997.0
38,4096,16640,4096,0.6253783967844747,916475.0,12238570.0,6483945506.0
39,4096,32512,4096,0.6468906587413041,1617994.0,22294478.0,11827708473.0
40,4096,32768,4096,0.6241388086199707,1627088.0,24188026.0,12947199009.0
41,4096,33024,4096,0.6090580071213283,1672595.0,25524614.0,13333424441.0
42,4096,65536,4096,0.6435269079386795,3531904.0,45442248.0,19003318636.0
43,4096,65792,4096,0.6403864184072456,3417495.0,46093638.0,23582428696.0
44,4096,66048,4096,0.6358612262391672,3556020.5,46961710.0,19509669380.0
45,4096,128256,4096,0.6738440157848824,6832227.0,79966075.0,38907139388.0
46,4096,130816,4096,0.6321236533668562,7069596.5,94136332.5,43998342058.5
47,4096,131072,4096,0.6617541262064426,6896644.0,85366381.0,41423441917.0
48,4608,2048,4096,0.5251841134265112,189400.0,2230040.0,926341025.0
49,4608,4096,4096,0.6008188621875903,246565.0,3654665.0,1258760842.5
50,4608,4608,4096,0.46561574360229896,439770.0,5727691.0,1948769515.0
51,4608,4864,4096,0.25010940478725563,456475.5,8765721.0,3041578230.5
52,4608,5376,4096,0.2503169903380313,461603.0,9684284.0,3387651741.0
53,4608,7680,4096,0.4813324719705731,464367.0,9227311.0,3301876146.0
54,4608,7936,4096,0.3231254546895985,481311.0,12791369.0,4642140765.0
55,4608,8192,4096,0.7443869421955568,462804.0,4252208.0,1449364568.0
56,4608,8448,4096,0.35076090551836536,499539.0,13010326.0,4687777166.0
57,4608,8704,4096,0.5177684366424571,689620.0,9633921.5,3263946907.5
58,4608,14080,4096,0.457954266582527,963825.0,17763213.0,6423626743.0
59,4608,14336,4096,0.4470736911808253,969594.0,18490555.0,6710809600.0
60,4608,16128,4096,0.4647149094615441,967231.0,20062883.0,7382833943.0
61,4608,16384,4096,0.4568306271015619,975723.0,20716249.0,8246122660.0
62,4608,16640,4096,0.42384753572964873,978788.0,22462685.0,9418327018.0
63,4608,32512,4096,0.3957868134081411,2021430.0,46244522.0,19274557997.0
64,4608,32768,4096,0.40446872311360127,2005367.0,45871588.5,19016605569.5
65,4608,33024,4096,0.3818350906716094,2044525.0,48166903.0,19841938064.5
66,4608,65536,4096,0.3744070153662833,4278087.5,96840918.5,38649639221.5
67,4608,65792,4096,0.37943231528462,4300382.5,96360122.5,38279185292.0
68,4608,66048,4096,0.3474843576180181,4359970.0,102203311.5,40707053853.0
69,4608,128256,4096,0.33433759282221104,8609453.0,202802547.0,75205645133.0
70,4608,130816,4096,0.33500893502061424,8813040.5,206622138.0,77302562067.0
71,4608,131072,4096,0.3287902710803827,8840238.0,209139410.0,78629912998.0
72,4864,2048,4096,0.3043455333219315,198894.0,3593345.0,1520464806.0
73,4864,4096,4096,0.6112578613325805,252934.0,3740005.5,1264830240.5
74,4864,4608,4096,0.41050886456051755,445739.0,6741017.5,2324597339.0
75,4864,4864,4096,0.2450109447654869,460401.0,9319977.0,3255458693.5
76,4864,5376,4096,0.24989717535120662,464487.0,10227817.0,3597255537.0
77,4864,7680,4096,0.40447487711529095,480651.0,11355619.0,4044778118.5
78,4864,7936,4096,0.3142451469643951,497976.0,13694364.0,4865642128.0
79,4864,8192,4096,0.7268097281907729,478187.0,4882333.0,1641175119.0
80,4864,8448,4096,0.3434750648188117,710210.0,13901104.0,4876148152.0
81,4864,8704,4096,0.46104077533464394,700436.0,11520491.0,3920030942.5
82,4864,14080,4096,0.29810025055633055,989263.0,24909818.0,9069679220.0
83,4864,14336,4096,0.2973621981344111,990685.5,25391580.5,9204302716.5
84,4864,16128,4096,0.292966393944139,1044465.0,28757975.0,11528027539.0
85,4864,16384,4096,0.2892806214818684,1048391.0,29379805.0,12135967336.0
86,4864,16640,4096,0.2960198628091624,1243159.0,29531608.0,10810424873.0
87,4864,32512,4096,0.29595263664569016,2145333.0,57695279.0,23771844609.0
88,4864,32768,4096,0.28806068897601267,2153906.0,58857740.5,24259707988.5
89,4864,33024,4096,0.2969388271804286,2301205.0,58514251.0,25643909114.0
90,4864,65536,4096,0.29932072529965337,4485175.0,115685090.0,45248215910.5
91,4864,65792,4096,0.2922789297981974,4677139.0,117402944.0,49323173884.5
92,4864,66048,4096,0.30186383128608624,4653444.0,116126854.5,47951828951.5
93,4864,128256,4096,0.3027434880901316,9221962.5,225158301.5,87229940341.5
94,4864,130816,4096,0.30307957437555255,9292064.0,229523987.0,87832203234.0
95,4864,131072,4096,0.30640483354757186,9279788.0,228785941.0,86601578327.5
96,5376,2048,4096,0.47815303290569855,201899.0,2893409.0,1215667576.0
97,5376,4096,4096,0.5825344082858558,433882.0,4489516.0,1547950828.0
98,5376,4608,4096,0.4337333203727153,445499.0,7125631.5,2515321665.5
99,5376,4864,4096,0.25904945200031293,462723.5,10093055.5,3571895038.5
100,5376,5376,4096,0.2644975069418224,469775.0,11065585.0,3912454070.0
101,5376,7680,4096,0.4060268902153558,703159.0,12513876.0,4268863963.0
102,5376,7936,4096,0.34444680697251717,712373.0,14409467.0,5099291215.0
103,5376,8192,4096,0.7325795321343,672715.0,5252930.0,1766436307.0
104,5376,8448,4096,0.33441188271141287,716259.0,15594931.0,5448510221.5
105,5376,8704,4096,0.4643765613456977,702679.0,12644410.0,4376368387.0
106,5376,14080,4096,0.29560991780863083,1027359.0,27636720.0,9973013626.0
107,5376,14336,4096,0.2995104113170291,1023795.0,27970087.0,11337352273.5
108,5376,16128,4096,0.3019556133967739,1241115.5,31345516.0,11388931536.5
109,5376,16384,4096,0.3130035655759933,1237730.5,31295464.0,11468427473.0
110,5376,16640,4096,0.30739769685815277,1246284.0,32066162.0,11638238734.0
111,5376,32512,4096,0.30572866021730866,2382163.0,62806160.0,26135499485.0
112,5376,32768,4096,0.3004868776993377,2405338.5,63820433.0,26348827868.5
113,5376,33024,4096,0.30509169529303665,2417496.0,63858607.0,26025277936.0
114,5376,65536,4096,0.31101292071033604,5032684.5,125543959.0,49207010346.5
115,5376,65792,4096,0.3014505506669214,5071777.0,127924451.0,51414832546.5
116,5376,66048,4096,0.31209812162448797,5042975.5,126305636.5,49260970133.0
117,5376,128256,4096,0.3118947581866748,10103552.0,245304792.0,93465354207.0
118,5376,130816,4096,0.3107519846970603,10353986.0,250653268.0,96080806773.0
119,5376,131072,4096,0.31399388553962027,10384788.0,249856091.0,94800161458.0
120,7680,2048,4096,0.48271664626240957,229500.0,4092511.5,1539293885.0
121,7680,4096,4096,0.6192315336802544,449907.0,5760758.0,2044586696.0
122,7680,4608,4096,0.4988643162907993,464128.0,8878048.0,3156635205.0
123,7680,4864,4096,0.26948994761230827,491948.5,14194062.5,5123461876.0
124,7680,5376,4096,0.28348798262282443,716543.0,15361647.0,5352768982.0
125,7680,7680,4096,0.41585625385623937,717984.0,17546374.5,7410305557.0
126,7680,7936,4096,0.34707209098372893,970558.5,20490328.0,7378281359.5
127,7680,8192,4096,0.7496926123011569,910749.5,6896367.5,2608048842.0
128,7680,8448,4096,0.3580969370091852,972721.5,21408927.0,7757096541.5
129,7680,8704,4096,0.48573338820266776,952050.0,17256250.0,6428399782.0
130,7680,14080,4096,0.45103989154674745,1471740.5,30020169.0,10576685502.0
131,7680,14336,4096,0.4448199812484503,1483438.5,30951109.5,10941074730.5
132,7680,16128,4096,0.42347399105043715,1734249.0,36306238.0,12797892697.0
133,7680,16384,4096,0.4384368558798004,1749232.0,35823357.0,12514823340.0
134,7680,16640,4096,0.40924576523890904,1767820.0,38481704.0,13437804790.0
135,7680,32512,4096,0.3935268518202114,3417724.5,77386348.5,31198765035.0
136,7680,32768,4096,0.3860470335046653,3428522.0,79054563.0,31748728610.5
137,7680,33024,4096,0.3859313358149873,3462250.5,79688195.0,31425404322.5
138,7680,65536,4096,0.37480678370370624,7211267.5,161282292.5,61439521682.0
139,7680,65792,4096,0.3814899759637035,7211963.0,160010672.5,60947623673.5
140,7680,66048,4096,0.3728498733032334,7251746.0,163100279.0,61667869804.0
141,7680,128256,4096,0.370786831130624,14369970.0,317784844.0,115609100442.0
142,7680,130816,4096,0.37335688995415794,14661689.5,322694585.5,116799742844.0
143,7680,131072,4096,0.37159846049352363,14596987.0,324311489.0,117797444168.0
144,7936,2048,4096,0.4834798023483533,231863.0,4221892.5,1568315088.5
145,7936,4096,4096,0.6249009557645767,452911.0,5848649.0,2086386056.0
146,7936,4608,4096,0.49110586339725415,469456.0,9333411.5,3299057079.0
147,7936,4864,4096,0.27090756846752906,502184.0,14636003.5,5234967948.0
148,7936,5376,4096,0.288649446252292,718545.0,15749370.0,5511134773.0
149,7936,7680,4096,0.4160880180344081,958099.5,18122945.0,6408481654.0
150,7936,7936,4096,0.3631446734555127,969456.0,20603333.0,7538601755.5
151,7936,8192,4096,0.7516923447908794,911871.0,7052852.0,2697636297.0
152,7936,8448,4096,0.3761534506427612,966591.5,21441125.0,7862657119.5
153,7936,8704,4096,0.4448269843778814,925731.5,19421131.0,8334202301.5
154,7936,14080,4096,0.3570239569972107,1496256.5,36930980.0,13429010955.5
155,7936,14336,4096,0.3484547032222329,1499120.5,38150747.5,15929846608.0
156,7936,16128,4096,0.3496844818396008,1753817.0,42829703.0,18078582404.0
157,7936,16384,4096,0.353234462924663,1768860.0,43249968.0,17994119103.0
158,7936,16640,4096,0.35392829685238786,1784363.0,43873677.0,18039202360.0
159,7936,32512,4096,0.3600969068128426,3524819.0,84817711.0,33209987539.0
160,7936,32768,4096,0.35910873406143473,3661665.0,85630052.0,35067844638.5
161,7936,33024,4096,0.3613982781885726,3679974.0,85960748.0,34985643654.0
162,7936,65536,4096,0.36459126823903787,7622350.0,169647015.5,64485395961.5
163,7936,65792,4096,0.3620604489896131,7562565.0,171050530.5,65714291490.5
164,7936,66048,4096,0.36508344587730907,7525548.0,170824309.0,64962387353.0
165,7936,128256,4096,0.3670256993245993,14820238.0,330535837.5,121260501080.5
166,7936,130816,4096,0.36705248720472317,15165963.0,337126482.0,122978102760.0
167,7936,131072,4096,0.3657446867447371,15207363.5,338549806.0,123642334544.0
168,8192,2048,4096,0.4779877917346633,240597.0,4405678.0,1593943492.5
169,8192,4096,4096,0.6118730243230607,456516.0,6283367.0,2234525023.0
170,8192,4608,4096,0.45286032902028817,483075.0,10446907.0,3661159408.5
171,8192,4864,4096,0.2671186015828311,513381.0,15192750.0,5404015594.0
172,8192,5376,4096,0.2811236887186558,721829.0,16443602.0,5754541033.5
173,8192,7680,4096,0.4497226082339118,957538.0,17516544.0,6236754415.0
174,8192,7936,4096,0.3525255731615795,975364.0,21656136.0,7847185431.5
175,8192,8192,4096,0.7534483017943816,917119.0,7214026.0,2785591981.0
176,8192,8448,4096,0.3610309784287818,967793.5,22721376.0,8217610238.5
177,8192,8704,4096,0.4999067127724396,917439.0,17837506.0,7726740131.0
178,8192,14080,4096,0.7325492788461538,1353764.0,13752385.0,7022731714.0
179,8192,14336,4096,0.7474106042819285,1358733.0,13020276.0,6644746796.0
180,8192,16128,4096,0.7249120258322312,1590355.5,16319744.0,8355156434.5
181,8192,16384,4096,0.7483010039935994,1576014.0,14812519.0,7609566207.0
182,8192,16640,4096,0.7395564858510248,1600089.0,15714460.0,8036695675.5
183,8192,32512,4096,0.717000294652651,3347098.0,34078975.0,16720656290.0
184,8192,32768,4096,0.7318230350691831,3322519.5,32109184.0,15348449913.0
185,8192,33024,4096,0.7178901140595668,3367387.0,34479615.0,16884328700.0
186,8192,65536,4096,0.6965949015561478,6819019.5,74841969.5,34900919327.0
187,8192,65792,4096,0.7278185701572679,6967920.0,65593973.0,30623689990.0
188,8192,66048,4096,0.7446328801031437,6902822.0,60404673.0,28156051820.0
189,8192,128256,4096,0.7540814964787055,13415475.0,112470093.0,51019262793.0
190,8192,130816,4096,0.755164988395255,13700612.0,114066487.0,51745349390.0
191,8192,131072,4096,0.737277042409825,13695165.5,125108615.0,56898447613.5
192,8448,2048,4096,0.4764007623062225,242920.0,4559547.0,1629821934.0
193,8448,4096,4096,0.6043683140146139,459481.0,6625698.0,2350146682.0
194,8448,4608,4096,0.4465997516677181,488123.0,10910293.0,3815241439.0
195,8448,4864,4096,0.2701573663431952,717223.0,15596876.0,5429255507.0
196,8448,5376,4096,0.2899063465491427,722490.5,16732589.5,5877250845.0
197,8448,7680,4096,0.42133077627611837,963466.0,19100142.0,6835058675.0
198,8448,7936,4096,0.368954075401026,968975.0,21712779.0,7947194509.5
199,8448,8192,4096,0.7477589853713089,902596.5,7660897.5,4175959196.5
200,8448,8448,4096,0.3586257393379166,979190.0,23527765.5,8438397431.0
201,8448,8704,4096,0.4466027167709184,936868.0,20600127.0,8786938314.0
202,8448,14080,4096,0.3543877025595784,1547011.0,39489395.0,16017966363.0
203,8448,14336,4096,0.35875149721092003,1716822.0,39909738.0,14413874878.5
204,8448,16128,4096,0.3575414487569965,1802968.5,44990108.5,18378117016.0
205,8448,16384,4096,0.35805938165706735,1819174.0,45663853.0,18416401339.0
206,8448,16640,4096,0.36123749251472775,2026561.0,46125705.0,16378840494.0
207,8448,32512,4096,0.36892787506275226,3778133.5,88923058.5,34700497561.0
208,8448,32768,4096,0.367675370279386,3777073.0,89820113.0,35157961550.0
209,8448,33024,4096,0.3681850698046546,3943560.5,90439938.0,36948663001.0
210,8448,65536,4096,0.37239672595415646,7864208.0,178142344.0,66663912739.0
211,8448,65792,4096,0.3654184829588627,7935433.0,180602637.0,68749619907.0
212,8448,66048,4096,0.3714295710971424,8098595.0,179561703.0,68273044879.0
213,8448,128256,4096,0.3708604369079226,15801804.0,349589268.5,127261620850.0
214,8448,130816,4096,0.3723264489652774,16080411.5,355657618.0,128733813523.0
215,8448,131072,4096,0.3712092677762564,16059605.0,356970762.5,130182357802.5
216,8704,2048,4096,0.4753614520698105,246445.0,4707865.0,1667963127.0
217,8704,4096,4096,0.6069206636020971,461563.0,6775039.0,2400202981.0
218,8704,4608,4096,0.4366652244352973,699075.0,11464909.5,3879606813.0
219,8704,4864,4096,0.2754505926770444,718424.0,15943025.5,5583533732.0
220,8704,5376,4096,0.2931853715273728,726274.0,17152932.0,6017260397.0
221,8704,7680,4096,0.4903997273547026,950808.0,17080590.5,6186964160.0
222,8704,7936,4096,0.3510010904034616,969515.5,23068285.5,8343849095.5
223,8704,8192,4096,0.7503570734996682,884069.0,7788672.0,4349330720.0
224,8704,8448,4096,0.35834662098305986,991588.0,24251954.0,8684203828.0
225,8704,8704,4096,0.45674600583099134,956456.0,20791692.0,8759079233.0
226,8704,14080,4096,0.4050004756998589,1719907.0,37195885.0,13232696565.0
227,8704,14336,4096,0.402761772136955,1730161.0,38029089.0,13433381971.0
228,8704,16128,4096,0.3984732187860607,1991947.0,43120237.0,15291201665.0
229,8704,16384,4096,0.4199009667334335,1993552.0,42085719.0,14902081529.5
230,8704,16640,4096,0.4087044823083569,2030325.0,43655298.0,15448090798.0
231,8704,32512,4096,0.3904818037491236,3959863.0,88186995.0,35522078483.0
232,8704,32768,4096,0.38723255673532264,3985179.0,89403763.0,35577400153.0
233,8704,33024,4096,0.39728015924516025,3986459.0,88476368.0,35290850232.0
234,8704,65536,4096,0.3856275900055926,8102113.0,179296381.0,67175539587.0
235,8704,65792,4096,0.3858539643154589,8121865.0,179878843.0,67687865596.0
236,8704,66048,4096,0.38520118139302645,8144096.0,180529253.0,67365888128.0
237,8704,128256,4096,0.38176369526196147,16264722.0,353337919.0,127886294636.0
238,8704,130816,4096,0.3818307570952622,16606462.0,360348452.0,129350064051.0
239,8704,131072,4096,0.38074304042594737,16651939.0,361688574.0,131198635355.0
240,14080,2048,4096,0.47394712334437084,459400.0,7630537.5,2742157075.5
241,14080,4096,4096,0.6526301097373403,693106.0,9472070.0,5603036321.0
242,14080,4608,4096,0.44953158962627965,965109.0,18070814.0,6585571272.0
243,14080,4864,4096,0.30519245300252423,982014.0,24636846.0,9090576011.0
244,14080,5376,4096,0.3220102091221902,1005929.0,26512618.0,10342758639.0
245,14080,7680,4096,0.47635849269965497,1458479.0,28479512.0,10205096251.0
246,14080,7936,4096,0.3625807081704536,1477628.0,36581606.0,15569642221.0
247,14080,8192,4096,0.758235653969428,1354044.0,12085369.0,6782683118.0
248,14080,8448,4096,0.3756959137833754,1538718.0,38063291.5,15684723971.0
249,14080,8704,4096,0.46702468882267767,1713377.0,32919590.0,11941017309.0
250,14080,14080,4096,0.4203268550159528,2604616.0,58454619.0,23973407197.0
251,14080,14336,4096,0.7207965586816358,2528743.0,25397741.0,12695582037.0
252,14080,16128,4096,0.4228024701853132,3097727.0,66637703.5,27223298231.0
253,14080,16384,4096,0.6689508181133368,2891521.5,35750817.5,14944991854.0
254,14080,16640,4096,0.42494236904206967,3104394.0,68471280.0,28085554177.0
255,14080,32512,4096,0.41268675362237794,6356731.0,136928893.0,51816496446.0
256,14080,32768,4096,0.414975603564982,6534274.0,137417216.0,53276898995.0
257,14080,33024,4096,0.41428163445446003,6552902.0,138665890.0,53361784721.0
258,14080,65536,4096,0.4139394729107483,13198198.5,275330270.5,102193416983.5
259,14080,65792,4096,0.4150891212232867,13287795.0,275786141.0,102325110257.5
260,14080,66048,4096,0.4135465126326208,13289770.5,277423099.0,101764510952.5
261,14080,128256,4096,0.396366759661087,26324980.0,556726648.0,199187845581.0
