M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
2048,14336,4096,0.7242787158731645,149442.0,3639046.5,2022665978.5
2048,16384,4096,0.6716480330570684,169202.0,5116537.0,2895843648.5
7936,32768,4096,0.48699963394686946,1455775.0,66861899.0,35721200563.0
8448,32768,4096,0.48689527279741995,1536695.0,71197657.0,38143467140.0
14080,32768,4096,0.4853675382377986,2623828.0,119092025.0,61294600510.0
16128,32768,4096,0.4849624980611299,3019431.0,136538216.0,69576507181.0
16640,32768,4096,0.48513922791384534,3136632.0,140821226.5,71212502384.0
