M,N,K,TCC_HIT_RATE,time_ns,TCC_EA0_RDREQ,EA0_RDREQ_LEVEL
4864,5376,4096,0.4406172381355935,170322.0,3946077.0,2465461997.0
4864,7680,4096,0.5793357983459926,253803.0,3938640.0,2210599578.0
4864,7936,4096,0.40678161821256753,261042.0,6246900.5,4049228498.0
4864,8192,4096,0.7318268035928174,242122.0,2212852.0,1244742985.5
4864,8448,4096,0.4029251192764103,264523.0,6700301.0,4335019981.5
4864,8704,4096,0.5516513333156225,258802.5,4846309.5,2756158158.0
4864,14080,4096,0.4398536507042684,442485.0,10331227.0,6397149362.0
4864,14336,4096,0.7266329520233881,438484.0,3990070.0,2244967397.0
4864,16128,4096,0.4473813089623539,454725.0,11639301.0,7308721965.0
4864,16384,4096,0.7390437867268119,446405.0,4231270.0,2491274975.0
4864,16640,4096,0.4489277907241896,458064.5,11967958.0,7610776077.0
4864,32512,4096,0.4700978281492963,905009.0,22247388.0,13238272022.0
4864,32768,4096,0.6477214356081116,887808.5,13176181.0,8088071645.5
4864,33024,4096,0.4691004306165582,915368.5,22646819.5,14176177464.5
4864,65536,4096,0.4917034604282175,2098502.0,42524144.0,64467258075.0
4864,65792,4096,0.4782725329128481,2125821.5,44174918.0,47998164392.0
4864,66048,4096,0.4798636298189256,2153821.0,44164784.0,55101318997.0
4864,128256,4096,0.4832325897520949,4241501.0,85104247.5,88064590026.5
4864,130816,4096,0.48367586596590617,4308163.0,86693823.0,91392928797.0
4864,131072,4096,0.4888806838088692,4311564.0,85736075.0,89620699731.0
5376,2048,4096,0.48817192730120806,82401.0,1493297.0,1047250800.0
5376,4096,4096,0.6605136245502865,158882.0,1739968.0,1039927348.5
5376,4608,4096,0.5685286954598268,164202.0,2702617.5,1608023260.0
5376,4864,4096,0.43678953149897687,169842.0,3978545.0,2485898598.0
5376,5376,4096,0.44759829232878334,173202.0,4294397.0,2664808629.0
5376,7680,4096,0.5625420615454095,257042.0,4578866.0,2597267843.0
5376,7936,4096,0.40673677267508823,265682.0,6904226.0,4458195748.0
5376,8192,4096,0.7375526762173603,246002.0,2362874.0,1324611234.0
5376,8448,4096,0.403786844935631,268363.0,7391433.5,4729031152.0
5376,8704,4096,0.5739841004424999,263522.0,5013911.0,2822909955.5
5376,14080,4096,0.44070729673145115,451544.5,11396302.5,7224600228.0
5376,14336,4096,0.7316218417029523,447885.0,4283460.0,2482792132.0
5376,16128,4096,0.44585056080007673,534806.0,12904783.0,8178339606.5
5376,16384,4096,0.7304400264837918,525525.0,4923338.0,2973010646.0
5376,16640,4096,0.4468813229272257,537605.0,13285674.5,8933100859.0
5376,32512,4096,0.4695900635789556,997410.0,24617867.0,14506668054.0
5376,32768,4096,0.6506575117700297,978850.0,14394131.0,8881511125.0
5376,33024,4096,0.46835877453085756,1008851.0,25073551.0,15430760340.0
5376,65536,4096,0.49149005135618645,2332143.0,47033899.0,75308948427.0
5376,65792,4096,0.4803332936532484,2402828.0,48594366.0,68646680487.0
5376,66048,4096,0.4792426485877237,2422583.0,48872639.0,79502278749.0
5376,128256,4096,0.4829067062674555,4685388.0,94137629.5,95844283918.5
5376,130816,4096,0.4831097260825244,4775068.0,95945317.0,99449392094.5
